index,target
248,IL20
246,E2F4
2979,STK36
240,ARHGAP5
236,PMM2
2987,LOC101930123
334,RUNX1
2910,IDH1
344,IFNL1
2905,PI4KA
426,AKT1S1
2806,ASS1
2809,RIPK3
409,ODC1
2828,DUSP1
399,DAPK2
2831,HOGA1
396,CDK5R1
395,CKS1B
2835,CLOCK
2837,SUFU
394,HDAC3
388,KIR2DS3
2989,LRP2
2851,TK1
2861,RBL1
370,DNMT3B
2867,GART
369,TAB3
366,FOSL1
2878,CANT1
2882,CCL15
2891,RAB3A
359,GPX8
354,CCL14
353,SOX2
347,PIAS1
2901,IL20RA
377,C4BPB
2788,GUCA1C
2991,GDF6
220,STIM1
3119,POLR2J
124,NTF3
120,RASGRF2
3139,PRMT1
110,CCL2
3150,HSD17B1
104,INSRR
3155,RAB5C
3162,PER1
88,OAS3
84,GAA
82,POLR2L
3184,TUBB4B
76,PGAM2
3190,MINPP1
3193,CCL24
3197,LPCAT4
3206,CASP12
64,MASP1
45,MYL6
41,NME7
3214,FLT3LG
30,MBOAT2
25,PRPS1L1
3222,TSTA3
3247,CCL26
3254,ABCC8
3118,CEPT1
3117,KCNMB4
3114,HOMER1
132,DDIT3
212,HSD17B6
206,TEC
3017,MYL6B
200,NR4A1
197,CS
3028,SLC6A3
178,GLP1R
177,TYMP
3043,IL9R
166,SPRY2
3046,SOCS5
3047,PGD
3051,RFX5
225,PIK3C2A
158,MAFA
3070,ENTPD3
150,INPP4A
145,DLST
3077,UPP1
3078,MIR10A
143,CCR4
3086,HTR1E
3089,CCL23
3096,DNM2
136,NTNG1
133,AP2A2
3106,POLR3G
3112,CX3CR1
156,IL18RAP
428,AKR1D1
1592,DDX3X
451,POLR1D
442,TUBB8
456,TAS1R2
2767,RET
2722,STMN1
458,BBC3
473,AMD1
2765,TUBAL3
431,TXNRD3
2770,CCR6
438,COMT
2772,PVRL1
449,SPDYC
472,MARS
2756,IDH2
2744,FGA
2764,ZBTB17
441,ARHGDIA
471,NCOR1
