index,target
2726,ACTA2
3020,OR10G9
2730,LIAS
2731,HIST1H4I
3019,FADS2
3583,HIST1H2BI
2733,CYP26A1
2734,OR2AG2
2727,B3GNT4
2754,OR51B6
3009,HSPA9
3568,DSC2
3546,MGLL
2782,ATP5C1
3415,CSGALNACT2
2783,MMP14
2784,UNC5C
2786,GGPS1
2787,OR2L5
2779,OR5B17
3542,PTPRB
3541,GABRA6
2791,LCAT
2792,DCTPP1
3539,OR5C1
3000,CUBN
3538,CD244
3416,APOE
2789,MIR30C2
3548,FBXL3
3549,PTPRJ
3550,EPHA5
2758,CYP46A1
3567,PHPT1
3409,SIKE1
3006,TTF1
2761,WHSC1L1
2762,RAD21
3566,MED1
3561,MCCC1
2766,GJA1
3560,OR2T27
2768,OR5P3
3559,MPDZ
3557,SLCO1B3
3556,ALG3
3555,MIR19B2
3004,MCM3
3414,TAPBP
2718,OR52R1
2797,EXOC2
3593,PLCH2
2715,ACOT12
3036,KIR3DL3
2657,AMOT
2658,OR6C1
2659,OR1E2
2660,SIRPG
2661,CPOX
3035,SULT1E1
2655,PLK2
2662,OR5F1
2664,S1PR3
3630,CD6
3397,SGPP2
2667,OR5M11
2668,IL17RB
2669,PLA1A
2670,TCL1A
3631,HIST1H2AD
2671,OR5M9
2654,NADSYN1
3634,OR10Q1
2632,SETDB2
2633,RGS3
3645,VKORC1
2635,OR8B8
3644,KIF5A
2637,CRTC1
3642,SERPINB9
2653,ANPEP
2641,MIR15B
2643,MIR520C
2644,HIST2H2AA4
2647,HBA2
2648,COX10
3639,LAMP1
2650,SRSF2
3636,OR52K2
2642,OR10C1
2672,ARSA
2673,COQ6
2674,CLDN22
3612,OR5A1
2699,H2AFB1
2700,TJP2
3399,GCNT4
3609,ASGR2
3027,CHRNA4
3605,KCNE1
2697,OR5K3
3602,CLCA1
3600,TOMM40
2713,OR1J2
3025,PIAS3
3596,NXT1
3024,PYCRL
3023,NRXN3
3400,SARDH
3026,TAS2R20
3615,CIR1
2694,CDKN1C
2693,H2AFB3
3032,GABRA3
2675,OR1N1
3625,PLXNA2
3623,HMBS
2679,FPR1
3030,HACD1
3622,BRCA2
2681,CDC7
2682,MAN1B1
2683,OR5B2
3621,IHH
2685,PIGB
2686,TAS2R13
2688,NKX2-2
2690,MAML3
2691,FRAT2
3617,ACSM3
3595,DDX5
2631,AK5
2798,OR5D16
2800,GABRP
2900,RRAGA
3482,GCNT1
2902,VNN2
2903,TAS2R41
2904,OR10W1
2906,H2BFM
2907,DUSP3
2898,P2RX3
3431,CD82
3477,MIR30D
3475,CYFIP2
2973,GNAZ
3473,OR4A16
3472,RUVBL1
2917,STRADB
2918,GTSE1
3479,ALDH1A1
2919,PERP
2896,P4HA3
3489,JAG2
2879,OR10A5
2880,UBA1
2881,HIST1H3D
3497,OR13C3
3430,LIPF
3496,ETNK2
2884,FFAR1
3488,EPHA1
2885,DOLK
3494,PTGER1
2888,TWIST1
3493,HSD17B4
2890,MAGED1
3491,SEMA4D
2892,MIR103A1
3490,ATP5H
3495,SERPINB4
2920,OR52E8
2970,SLK
2921,CD63
2941,MTHFD2L
2942,VANGL1
3450,SLC22A2
3449,MLX
2946,FNTB
2947,AGRP
3448,TFDP2
2966,MIR223
3446,RASA3
3445,SEMA3E
3435,MIR124-1
3443,CNTN2
3442,TJP3
2956,PSME1
2961,NANP
3440,KCNJ11
2951,ACP5
3452,CER1
2938,HIST1H4D
2936,SERPINC1
2922,LEFTY1
3470,ATP5O
3433,RIMS2
2924,OR13H1
2925,OR56A3
3462,MIR200A
2968,OR1L3
2927,P2RX2
3460,KSR2
2929,ATG5
3459,IL17RA
2931,CYP8B1
2932,ADRA2A
2933,HDC
2967,KAT5
3454,OR7G2
2935,STAM2
3498,SETD8
2799,TFAP4
2877,OR8D4
3501,MIR124-2
2817,ADGRB1
3421,GNPNAT1
2819,BLVRA
2820,NRCAM
2821,MIRLET7A3
2822,MIRLET7F1
2823,OR7E24
2816,MIR133B
2824,MAPKAPK5
2826,OR6P1
2990,HIST1H2AH
3423,OR13G1
2988,NRP1
3528,CRHR1
2829,SH2D2A
2830,ARHGEF11
2825,FGD3
3526,C6
3529,OR52K1
3419,OR4M2
2801,RPRM
2802,TPH1
3537,HCN2
3536,OR1M1
2805,EDA
3534,MIR152
2807,OR2AK2
3531,ITPK1
3417,FES
3418,HIST1H2BC
3533,TNFSF4
2995,DHDDS
3532,TAS2R50
2811,TP63
2812,CLDN16
2813,NR1H4
2997,PAFAH1B3
2833,ATP5G3
3424,MYH13
3523,RAG2
2857,ST20-MTHFS
2858,NIT2
3429,FUT4
2859,ADA
2860,HIST1H2AL
3509,STAR
2977,AMY2B
3428,CYP4A22
3508,H2AFV
2976,TECR
2868,OR5AP2
2869,SIPA1L1
2870,DOK1
2871,CALCRL
2872,BHLHE40
2873,PROS1
3507,C8A
2855,BCAT1
2853,SPRY1
3512,CYFIP1
2836,CALY
2986,MYH4
3522,HIST2H3D
3521,AMY1C
2839,CERK
2985,GABRA1
2840,OR4Q3
3520,ADCYAP1
3425,RSAD2
3519,PIAS4
3518,GABRA2
3515,OR6B2
2847,MIR30C1
3426,GPD2
2981,RASSF6
2980,MIR155
2850,DBF4
2876,OR4P4
3647,ST6GALNAC5
3648,BBOX1
3650,RAET1E
3362,MAP4K2
3095,CLCA4
3786,OR2D2
2413,GIPR
3094,C7
3783,MIR345
2416,SPRY4
2408,OR52B4
3782,PDE10A
2419,SHANK2
3781,F8
2421,OR2A12
3779,OR2L2
2423,NAGLU
2424,CYP2U1
3093,CES1
2418,CLDN9
2425,PDE8A
3788,MIR29B2
3361,GALNT10
3800,COASY
2390,SAT2
2391,OR1B1
3359,IVD
2392,CD209
2394,DOLPP1
2395,PLOD3
3791,ACSM4
3099,PITX2
2398,TAS2R8
3796,RAB23
2400,RIN1
3795,CAMP
2402,PYCR2
3360,CD79B
3793,GNB2L1
2397,DHCR24
2426,MAP3K13
2427,CTPS2
2428,IL20RB
2448,MIRLET7A2
2450,OR8D2
3760,SIK1
2453,MTNR1B
2454,OR8G2
3082,KYNU
2455,RAMP2
3762,MAT2B
2456,LILRA5
3758,OR2S2
2460,HIST2H2BF
2461,OR52B2
3756,OR5AN1
3079,HNF4G
2464,CYP4F8
3754,PRUNE
3081,RAB2A
3763,TAS2R19
3766,LILRA6
2444,LPCAT3
3776,RAB11B
3092,GTF2I
3774,TBP
3772,CHRNB2
2434,MIR9-1
3363,SRD5A3
3364,PRNP
2435,ALK
3366,DRD3
3088,ADK
3770,OR1L8
2439,SMC3
3769,NR5A2
3367,HIST1H2BA
3085,PLA2G15
2442,OR10H4
3767,OR13A1
2388,CD46
3753,SETD1B
2387,ALCAM
2385,TALDO1
3840,MIR181A2
3356,OR8H2
2328,DHX58
2329,LRP5
2330,FMO4
3838,HIST1H4E
2332,OR2H2
3110,AURKA
2333,CAMK1
2336,SLC44A2
3836,NR0B2
3835,MIR326
3108,COX15
3357,OR4F6
2339,DUSP8
3358,CSNK1G3
2334,FGD1
3833,EPHA3
2325,SST
2323,PDC
2300,OR4N2
2301,LILRA3
3862,GPAA1
3351,KMT2D
3116,ASNS
3115,RCE1
3853,CERS1
3841,HCFC1
2310,MIR1-2
2312,COMMD3-BMI1
3113,OR10G3
2314,FXN
3354,C9
2316,SIRPB1
2317,SPTAN1
3844,GBA3
3850,SLCO1B7
3832,APIP
3831,AVP
2345,OR51B2
2367,DSG2
3811,MIR224
3810,ARSB
3809,DPM3
2371,KLRK1
3807,THTPA
2373,B4GAT1
2366,KCNJ15
2375,OR5I1
2378,GK
2379,GDA
2380,ATP6V1C1
2381,CD274
3102,VIPR2
3101,DPM1
3801,RDH10
2376,OR52M1
3813,LOC102724788
2364,OR2A2
2363,EIF3E
3829,ADRA2B
2347,CERS3
3828,STX3
2350,PTGES3
3826,OR10G2
3825,OR6K2
2353,CP
3824,OR11H1
3104,GNRH1
2355,GPT
3822,MOGS
3820,OR5W2
3819,CHPF2
2359,AK4
3817,MAPK8IP3
3815,MEF2A
3103,ATF3
2386,ACSF3
2467,PPP1R3D
2468,FCER1A
3752,SETDB1
2574,OR51B4
2575,CTPS1
3690,RAE1
2578,CNGB3
3384,KMO
2579,SDSL
2580,MICA
2573,OR13C4
2581,SEMA4A
2583,OR1N2
2584,MIR92A2
2585,SHISA5
3688,OR6X1
3684,MIR181C
2588,GABRG1
2590,BHLHE41
