index,herb
996,地枫皮
997,姜黄
998,锦鸡儿
999,柏子仁
1000,木通
1001,延胡索
1002,铁丝威灵仙
1003,制半夏
1004,甜瓜根
1005,石斛
1006,绿豆皮
1007,金樱根
1008,路边紫草
1009,诃子核
1010,白梅花
1011,鬼箭锦鸡儿
1012,茄花
1013,防风叶
1014,苦丁茶
1015,小蓟
